Zone_no_,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
1,1128.42,1160.25,1192.64,1225.59,1259.12,1293.22,1327.89,1363.15,1399,1435.44,1472.47,1510.11,1548.35,1587.19,1626.66,1666.73,1707.43,1748.76,1790.72,1833.31,1876.54,1920.41,1964.94,2010.11,2055.94
2,376.408,387.026,397.83,408.823,420.006,431.381,442.948,454.71,466.668,478.822,491.176,503.73,516.485,529.444,542.607,555.976,569.552,583.338,597.333,611.541,625.961,640.597,655.448,670.517,685.805
3,290.77,298.971,307.318,315.81,324.448,333.235,342.171,351.257,360.494,369.883,379.426,389.124,398.977,408.987,419.156,429.483,439.971,450.62,461.431,472.406,483.546,494.851,506.324,517.964,529.774
4,303.58,312.143,320.857,329.723,338.743,347.917,357.246,366.732,376.376,386.179,396.143,406.268,416.555,427.006,437.623,448.405,459.355,470.473,481.761,493.219,504.85,516.653,528.631,540.785,553.115
5,530.485,545.449,560.676,576.169,591.929,607.96,624.262,640.839,657.691,674.821,692.232,709.924,727.901,746.164,764.715,783.556,802.69,822.118,841.843,861.866,882.189,902.815,923.746,944.983,966.53
6,514.987,529.513,544.296,559.336,574.636,590.198,606.024,622.116,638.476,655.106,672.008,689.184,706.635,724.364,742.374,760.665,779.239,798.1,817.248,836.686,856.416,876.439,896.759,917.376,938.292
7,285.266,293.313,301.501,309.832,318.308,326.928,335.695,344.608,353.671,362.882,372.245,381.759,391.426,401.247,411.222,421.354,431.643,442.091,452.698,463.465,474.394,485.485,496.741,508.161,519.747
8,475.093,488.494,502.131,516.007,530.122,544.478,559.078,573.924,589.016,604.358,619.951,635.796,651.895,668.251,684.865,701.739,718.875,736.275,753.94,771.872,790.073,808.546,827.291,846.311,865.607
9,288.721,296.865,305.152,313.584,322.162,330.887,339.76,348.781,357.953,367.277,376.753,386.382,396.166,406.105,416.202,426.457,436.87,447.444,458.18,469.077,480.138,491.364,502.756,514.315,526.041
10,513.449,527.932,542.67,557.665,572.92,588.436,604.215,620.259,636.57,653.15,670.001,687.126,704.525,722.201,740.157,758.393,776.912,795.716,814.808,834.188,853.858,873.822,894.081,914.636,935.49
11,1244.03,1279.13,1314.83,1351.17,1388.13,1425.72,1463.95,1502.82,1542.34,1582.52,1623.34,1664.83,1706.99,1749.82,1793.32,1837.51,1882.38,1927.94,1974.2,2021.15,2068.81,2117.18,2166.27,2216.07,2266.6
12,1320.08,1357.32,1395.21,1433.77,1472.99,1512.88,1553.44,1594.69,1636.63,1679.26,1722.58,1766.61,1811.34,1856.79,1902.95,1949.84,1997.45,2045.8,2094.88,2144.71,2195.28,2246.61,2298.69,2351.54,2405.16
13,1292.12,1328.56,1365.65,1403.39,1441.78,1480.82,1520.53,1560.91,1601.96,1643.68,1686.09,1729.18,1772.97,1817.45,1862.64,1908.53,1955.13,2002.46,2050.5,2099.27,2148.77,2199.01,2249.99,2301.72,2354.2
14,1457.19,1498.29,1540.12,1582.68,1625.97,1670,1714.78,1760.32,1806.61,1853.66,1901.49,1950.09,1999.47,2049.63,2100.59,2152.35,2204.91,2258.27,2312.45,2367.46,2423.28,2479.94,2537.43,2595.77,2654.96
