Zone_no_,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
1,20291300,22151500,23299400,24487400,25716300,26986900,28300200,29656900,31057900,32504200,33996600,35536000,37123300,38759500,40445300,42181900,43970000,45810700,47704900,49653500,51657600,53718100,55835900,58012100,60247600
2,19375100,21151400,22247500,23381800,24555200,25768500,27022400,28317900,29655700,31036700,32461700,33931600,35447200,37009500,38619200,40277400,41984800,43742400,45551000,47411700,49325300,51292700,53314900,55392800,57527400
3,16245200,17734500,18653500,19604600,20588500,21605700,22657100,23743300,24865000,26022900,27217700,28450100,29720900,31030800,32380500,33770800,35202400,36676000,38192500,39752600,41357100,43006700,44702200,46444400,48234200
4,16947200,18500800,19459600,20451800,21478100,22539300,23636200,24769300,25939400,27147300,28393800,29679500,31005200,32371700,33779700,35230100,36723500,38260900,39842900,41470400,43144100,44865000,46633800,48451400,50318500
5,15835500,17287300,18183100,19110200,20069300,21060900,22085700,23144500,24237900,25366600,26531300,27732700,28971400,30248300,31564000,32919200,34314700,35751200,37229400,38750100,40314100,41922100,43574900,45273200,47017900
6,18644500,20353800,21408500,22500100,23629200,24796800,26003400,27250000,28537400,29866300,31237600,32652000,34110500,35613900,37162900,38758500,40401500,42092900,43833300,45623800,47465200,49358500,51304400,53304000,55358100
7,14634600,15976200,16804100,17660900,18547200,19463600,20410800,21389300,22399700,23442800,24519200,25629400,26774200,27954300,29170200,30422600,31712300,33039800,34405900,35811300,37256700,38742800,40270200,41839700,43452000
8,19956100,21785600,22914500,24082900,25291500,26541100,27832700,29167000,30544900,31967300,33435000,34949000,36510100,38119200,39777200,41485000,43243600,45053900,46916800,48833300,50804200,52830600,54913500,57053700,59252300
9,20122000,21966700,23105000,24283100,25501800,26761800,28064100,29409500,30798800,32233000,33713000,35239500,36813600,38436100,40107900,41830000,43603200,45428500,47306900,49239300,51226600,53269900,55370100,57528100,59745000
10,10180200,11113500,11689400,12285400,12901900,13539400,14198300,14878900,15581900,16307500,17056200,17828500,18624900,19445700,20291500,21162800,22059900,22983400,23933700,24911300,25916800,26950500,28013000,29104800,30226400
11,26860900,29323400,30843000,32415600,34042400,35724400,37462800,39258800,41113500,43028000,45003600,47041400,49142600,51308500,53540200,55839000,58206100,60642700,63150200,65729700,68382700,71110200,73913700,76794500,79753800
12,18054500,19709700,20731100,21788100,22881500,24012100,25180600,26387700,27634300,28921200,30249100,31618800,33031100,34486900,35986900,37532100,39123100,40760900,42446300,44180100,45963200,47796600,49680900,51617200,53606400
13,28881000,31528800,33162600,34853500,36602600,38411200,40280300,42211400,44205500,46264000,48388200,50579300,52838500,55167300,57566800,60038500,62583600,65203500,67899500,70673100,73525500,76458200,79472600,82570000,85751900
14,29464300,32165500,33832300,35557400,37341800,39186900,41093800,43063800,45098200,47198300,49365400,51600700,53905600,56281400,58729400,61250900,63847400,66520300,69270800,72100300,75010300,78002300,81077500,84237500,87483600
